Rank	Username	Total	A	B	C
1	duality	228	47	81	100
2	tatyam	220	20	100	100
3	Seniorious	200	0	100	100
3	Suiseiseki	200	0	100	100
3	fragment	200	0	100	100
3	ainta	200	0	100	100
7	baluteshih	146	9	37	100
8	humbertoyusta	145	9	100	36
9	joelau	137	20	81	36
9	homuraaaaa	137	20	81	36
11	kostia244	133	0	33	100
12	andyzys	131	0	100	31
13	maomao90	126	9	81	36
13	ShinigamiCHOP	126	9	81	36
15	koosaga	124	0	100	24
16	batman	120	3	81	36
16	user14767553	120	47	37	36
18	dorijanko	117	0	81	36
19	shaun_0124	109	36	37	36
20	daniel920712	105	32	37	36
20	S2speed	105	9	60	36
22	HeRaNO	100	0	0	100
22	testing	100	0	0	100
22	orz_zjf	100	0	100	0
22	wasa855	100	0	100	0
22	nhanben03	100	0	100	0
22	ppavic	100	0	100	0
22	zzzx	100	0	0	100
22	abcxyz	100	0	0	100
30	zaneyu	93	20	37	36
30	dannyboy20031204	93	20	37	36
30	minhcool	93	20	37	36
33	keko37	88	0	81	7
34	dantoh	82	9	37	36
34	hhhhaura	82	9	37	36
34	zipdang04	82	9	37	36
34	magnified	82	9	37	36
34	KKT89	82	9	37	36
34	PedroBigMan	82	9	37	36
40	Bruteforceman	81	0	81	0
40	Aldas25	81	0	81	0
40	zzz	81	20	25	36
43	Star_Cried	76	3	37	36
44	vistokartika	73	36	25	12
44	SorahISA	73	36	25	12
44	Owmicron	73	0	37	36
44	skittles1412	73	0	37	36
44	hohohaha	73	0	37	36
44	andrii	73	0	37	36
44	KerakTelor	73	0	37	36
51	StrawHatWess	70	9	25	36
52	azaky	69	20	37	12
53	changle_cyx	60	0	60	0
54	keziaaurelia1	58	9	37	12
54	jamielim	58	9	37	12
54	joylintp	58	9	37	12
54	Mahfel	58	9	37	12
58	SorahISA0	57	0	33	24
59	CHN404	54	0	25	29
60	jlallas384	52	3	37	12
61	Je-O	49	0	37	12
62	Dbenyong	48	0	48	0
63	LittleCube	46	9	25	12
63	Maezra6	46	9	25	12
65	Halogen	45	3	37	5
66	Apiram	43	0	12	31
67	vioalbert	42	0	37	5
67	AbdelmagedNour	42	0	37	5
69	AmineTrabelsi	40	0	33	7
70	sumlist	39	9	25	5
70	MDario	39	3	0	36
70	benson0402	39	9	25	5
73	a	37	0	37	0
73	jasonseba	37	0	25	12
73	gg	37	0	25	12
76	ezex	36	0	0	36
76	pvidas	36	0	0	36
76	vvvv	36	0	0	36
76	EndRay	36	0	0	36
80	Binary_Search_Tree	33	0	33	0
80	SamNguyen	33	0	33	0
80	TryMax	33	0	33	0
83	ehzeux	31	0	0	31
83	tutis_	31	0	0	31
83	TMHazem	31	0	0	31
86	Tahmid690	30	0	25	5
86	sichengzhou	30	9	21	0
86	angelo_torres	30	0	25	5
89	rmgp	27	3	12	12
90	Red_rainOwO	25	9	4	12
90	FlippenFaz	25	0	25	0
92	lakshith	21	0	21	0
92	NekoRolly	21	0	21	0
92	WAN0106	21	0	21	0
95	tmp	20	20	0	0
96	Maxwang	19	0	12	7
97	Kantian_Knight	13	9	4	0
98	SuckTinHock	12	0	12	0
98	oliver-sommer	12	3	4	5
100	Moufeed	11	11	0	0
101	JediMaster11	9	0	4	5
101	Karliver	9	0	4	5
101	Bryan	9	9	0	0
104	cccllf	8	0	8	0
105	nadidadit	5	0	0	5
105	hossain2020	5	0	0	5
105	allenge	5	0	0	5
108	YaserFaisal	4	0	4	0
108	mugi	4	0	4	0
108	kt3	4	0	4	0
108	Sasha009	4	0	4	0
108	ZeroScar	4	0	4	0
108	darkkcyan	4	0	4	0
108	Koying	4	0	4	0
108	pln	4	0	4	0
116	sdaodifnbfd	3	3	0	0
117	ww132	0	0	0	0
117	Andyvanh1	0	0	0	0
117	whiteedu	0	0	0	0
117	dynamicprogrammer	0	0	0	0
117	JCJCJC	0	0	0	0
117	CBCode	0	0	0	0
117	c_str	0	0	0	0
117	MeGustaElArroz23	0	0	0	0
117	crxis	0	0	0	0
117	henghengaaa	0	0	0	0
117	sabertooth_69	0	0	0	0
117	halimkevin	0	0	0	0
117	asdoodas	0	0	0	0
117	snokes	0	0	0	0
117	hollwoqpelw	0	0	0	0
117	b1234	0	0	0	0
117	virginiapj811	0	0	0	0
117	KostasKostil	0	0	0	0
117	pulsatio	0	0	0	0
117	-ILLIA-	0	0	0	0
117	ehcgnahc	0	0	0	0
117	fikriya	0	0	0	0
117	OutcastOuO	0	0	0	0
117	beehc	0	0	0	0
117	test	0	0	0	0
117	nonsan	0	0	0	0
117	zzzzasd	0	0	0	0
117	kumokunn	0	0	0	0
117	astoria	0	0	0	0
117	NajmulHasan	0	0	0	0
117	YuraS32	0	0	0	0
117	abdanhafidz	0	0	0	0
117	bad_server	0	0	0	0
117	ZIhan	0	0	0	0
117	illyakr	0	0	0	0
117	broma1017	0	0	0	0
117	phanngung77x17	0	0	0	0
117	suvidsahay	0	0	0	0
117	skip2004	0	0	0	0
117	hehe	0	0	0	0
117	dyx131313	0	0	0	0
117	Wie	0	0	0	0
117	ashfahridita	0	0	0	0
117	tiger2005	0	0	0	0
117	dairenjie	0	0	0	0
117	SorahISA1	0	0	0	0
117	UOJ	0	0	0	0
117	tute7627	0	0	0	0
117	cadetmahlil	0	0	0	0
117	vandatcqh	0	0	0	0
117	yuspring	0	0	0	0
117	WalterGabriel	0	0	0	0
117	nahian34	0	0	0	0
117	aaasd	0	0	0	0
117	hitonanode	0	0	0	0
117	oleh1421	0	0	0	0
117	Plurm	0	0	0	0
117	nadid450	0	0	0	0
117	cksberry	0	0	0	0
117	xiaolang058	0	0	0	0
117	ipaljak	0	0	0	0
117	tourist_2	0	0	0	0
117	Manuela	0	0	0	0
117	nhanbin03	0	0	0	0
117	Sdamsath	0	0	0	0
117	merlin	0	0	0	0
117	N_o_o_B	0	0	0	0
117	cat	0	0	0	0
117	Ameldaa12	0	0	0	0
117	Hamim	0	0	0	0
117	SHAWKIK_ISLAM_JOHA	0	0	0	0
117	tony9321	0	0	0	0
117	penguin71630	0	0	0	0
117	SFeather	0	0	0	0
117	rafa1712	0	0	0	0
117	vrooooom	0	0	0	0
117	Sasha008	0	0	0	0
117	211368E	0	0	0	0
117	Bowen123	0	0	0	0
117	Vito1036	0	0	0	0
117	lucascolombian	0	0	0	0
117	Alpha_Q	0	0	0	0
117	Buba322	0	0	0	0
117	VNM14	0	0	0	0
117	_FireGhost_	0	0	0	0
117	airi	0	0	0	0
117	liangzexian	0	0	0	0
117	hohemhein	0	0	0	0
117	munje	0	0	0	0
117	Geothermal	0	0	0	0
117	tanmoy_62	0	0	0	0
117	oqueen123	0	0	0	0
117	charles	0	0	0	0
117	hollwo_pelw	0	0	0	0
117	priority_queue	0	0	0	0
117	guan	0	0	0	0
117	shadow_sp1r1t	0	0	0	0
117	vixephor	0	0	0	0
117	victor	0	0	0	0
117	PCTprobability	0	0	0	0
117	ndhfrayyan	0	0	0	0
117	BlueFoxyy	0	0	0	0
117	nadid	0	0	0	0
117	LittlePants	0	0	0	0
117	friyaan	0	0	0	0
117	fadi57	0	0	0	0
117	DeMen100ns	0	0	0	0
117	Sylphine	0	0	0	0
117	freddy645645	0	0	0	0
